ticker,date,open,high,low,close,volume
ZGN,2021-12-20,9.856124627603714,10.832167544713739,9.674312112234283,10.277162551879883,1174200
ZGN,2021-12-21,11.377603737716218,11.951746339498929,10.525957737685248,11.358465194702148,1751900
ZGN,2021-12-22,11.865624230144615,12.104850532466692,11.415879438833775,11.722088813781738,968500
ZGN,2021-12-23,11.674244300796772,11.913470622176115,11.377604173328942,11.482863426208496,687400
ZGN,2021-12-27,11.626398012167888,11.67424345549459,10.813029125917682,11.147945404052734,414200
ZGN,2021-12-28,11.301052547648283,11.301052547648283,10.73647824700379,11.023550033569336,375400
ZGN,2021-12-29,11.004411479122842,11.004411479122842,10.53552807859586,10.545097351074219,572600
ZGN,2021-12-30,10.631216510071948,10.640785781150113,10.133626277494267,10.430266380310059,291400
ZGN,2021-12-31,10.430267339005862,10.430267339005862,9.980522507904892,10.028367042541504,177400
ZGN,2022-01-03,9.999660436701376,10.52595854654377,9.903970452005687,10.325008392333984,306500
ZGN,2022-01-04,10.50681898511258,10.548923413873377,10.047504912847435,10.248455047607422,296300
ZGN,2022-01-05,10.344145499249503,10.468542370808342,9.616897336266046,9.636034965515137,296200
ZGN,2022-01-06,9.64560485413259,9.88483116680964,8.822666667050882,8.860942840576172,634400
ZGN,2022-01-07,9.148014581394486,9.798709530121654,9.090599864924698,9.588191032409668,285800
ZGN,2022-01-10,9.760434647160839,9.810193770488329,9.186291969431425,9.559484481811523,232300
ZGN,2022-01-11,9.569052779866809,9.827417642959686,9.272411742157503,9.72215747833252,275000
ZGN,2022-01-12,9.760433862518891,9.79871003795716,9.492500634451002,9.62646770477295,272200
ZGN,2022-01-13,9.569052884722822,9.72215758486623,9.243704940630087,9.310688018798828,619400
ZGN,2022-01-14,9.301119452486416,9.368102529164528,9.138445484060167,9.329826354980469,321900
ZGN,2022-01-18,9.569052345311501,9.722157036824335,9.329826036678714,9.597759246826172,278700
ZGN,2022-01-19,9.616897848171735,9.808278713729313,9.463793155725675,9.511637687683105,335400
ZGN,2022-01-20,9.674312314467608,9.674312314467608,9.10973895053027,9.138445854187012,354200
ZGN,2022-01-21,9.100168956116665,9.540345398409954,9.100168956116665,9.521206855773926,337300
ZGN,2022-01-24,9.473362178633037,9.473362178633037,8.899219541714194,9.37767219543457,570400
ZGN,2022-01-25,9.281981220242718,9.463793738143426,9.148015062395887,9.224567413330078,311700
ZGN,2022-01-26,9.377671925612669,9.425517372123261,9.042754712614506,9.157583236694336,180100
ZGN,2022-01-27,9.205428271859455,9.54034546989181,9.071461210131323,9.272411346435547,281000
ZGN,2022-01-28,9.186289643934439,9.387239758413498,9.09059876558218,9.195858001708984,228500
ZGN,2022-01-31,9.195859432171165,9.83698604416455,9.148014898128427,9.798709869384766,825300
ZGN,2022-02-01,10.334578124409745,10.334578124409745,9.760434540385177,10.047506332397461,400400
ZGN,2022-02-02,10.124058323405356,10.315439206984882,9.770003460639222,9.836986541748047,97200
ZGN,2022-02-03,9.894400867485924,9.951814673976093,9.674312175737606,9.789140701293945,86300
ZGN,2022-02-04,10.047505563995847,10.210179536609479,9.760433793937908,10.191040992736816,189700
